Rank,SchoolName,Grades,District,StudentCount,FreeDiscLunch,AverageScore,Rank2016
1,Whitney (Gretchen) High,7-12,ABC Unified,1011,21.3,99.7,25.2
2,Oxford Academy,7-12,Anaheim Union High,1208,34.9,99.7,30.2
3,Bullis Charter,K-8,Santa Clara County Office Of Education,744,0.7,99.5,19
4,Riverside STEM Academy,5-12,Riverside Unified,577,26.7,99.4,26.2
5,Elkhorn,4-8,Lodi Unified,272,41.5,99.4,27.2
6,Accelerated Achievement Academy,4-8,Hollister,139,54.0,99.3,23.1
7,Windemere Ranch Middle,6-8,San Ramon Valley Unified,1245,2.5,99.3,25.9
8,Joaquin Miller Middle,6-8,Cupertino Union,1317,2.6,99.3,22.7
9,William Hopkins Junior High,7-8,Fremont Unified,1017,3.7,99.1,26
10,Petaluma Accelerated Charter,7-8,Petaluma Joint Union High,48,58.3,99.1,24
11,Mt. Everest Academy,K-12,San Diego Unified,263,24.3,99,18.7
12,John F. Kennedy Middle,6-8,Cupertino Union,1474,1.0,99,24.1
13,Vista Verde,K-8,Irvine Unified,947,3.8,98.9,27.8
14,North Star Academy,3-8,Redwood City Elementary,523,10.1,98.8,27.5
15,Christa McAuliffe Elementary,K-8,Cupertino Union,486,2.5,98.8,22
16,Jane Lathrop Stanford Middle,6-8,Palo Alto Unified,1111,5.3,98.8,17.9
17,Redwood Middle,6-8,Saratoga Union Elementary,889,0.9,98.8,20.2
18,Sam H. Lawson Middle,6-8,Cupertino Union,1249,2.4,98.8,21.9
19,Ocsa,7-12,Santa Ana Unified,2096,11.1,98.6,29.5
20,Ardis G. Egan Junior High,7-8,Los Altos Elementary,645,7.0,98.6,22.2
21,Georgina P. Blach Junior High,7-8,Los Altos Elementary,512,2.7,98.6,20.4
22,Oxford Preparatory Academy - South Orange County,K-8,Capistrano Unified,878,10.7,98.6,29.2
23,Huntington Middle,6-8,San Marino Unified,780,4.9,98.5,20.5
24,Jefferson Charter Academy,K-8,Hanford Elementary,401,44.9,98.4,26.7
25,Lawton Alternative Elementary,K-8,San Francisco Unified,599,49.8,98.4,22.1
26,Joaquin Moraga Intermediate,6-8,Moraga Elementary,681,1.9,98.4,19.4
27,Edison Computech,7-8,Fresno Unified,788,67.6,98.4,25.4
28,Eleanor Murray Fallon,6-8,Dublin Unified,1388,3.9,98.3,24.3
29,Pacific Trails Middle,7-8,San Dieguito Union High,264,4.6,98.3,24
30,Robert C. Fisler Elementary,K-8,Fullerton Elementary,914,5.4,98.2,29.4
31,Del Mar Middle,6-8,Reed Union Elementary,543,4.1,98.1,18.1
32,Carmel Valley Middle,7-8,San Dieguito Union High,1361,4.6,98.1,26.6
33,Yu (Alice Fong) Elementary,K-8,San Francisco Unified,587,38.8,98.1,26.6
34,R. Roger Rowe Middle,6-8,Rancho Santa Fe Elementary,248,1.2,98.1,10.7
35,Woodside Elementary,K-8,Woodside Elementary,409,10.0,98,11.3
36,Iron Horse Middle,6-8,San Ramon Valley Unified,1083,3.9,98,25.7
37,South Pasadena Middle,6-8,South Pasadena Unified,1098,15.9,97.8,22.8
38,Piedmont Middle,6-8,Piedmont City Unified,681,0.4,97.8,17
39,Harvest Park Middle,6-8,Pleasanton Unified,1192,4.9,97.7,23.8
40,Foothills Middle,6-8,Arcadia Unified,770,17.9,97.7,24
41,Cupertino Middle,6-8,Cupertino Union,1485,6.7,97.7,23.2
42,Diablo Vista Middle,6-8,San Ramon Valley Unified,1018,2.3,97.7,24.2
43,Porter Ranch Community,K-8,Los Angeles Unified,1093,9.2,97.6,26
44,M. H. Stanley Middle,6-8,Lafayette Elementary,1220,3.0,97.6,23
45,Santa Rosa Technology Magnet,K-8,Pleasant Valley,592,8.3,97.6,23.6
46,Orchard Hills,K-8,Tustin Unified,1156,11.2,97.6,28.9
47,Terman Middle,6-8,Palo Alto Unified,751,10.3,97.5,16.6
48,La Canada High,7-12,La Canada Unified,2075,1.5,97.5,24.7
49,Redwood Academy of Ukiah,7-12,Ukiah Unified,143,56.6,97.5,20.4
50,Orinda Intermediate,6-8,Orinda Union Elementary,895,0.5,97.5,22.3
51,Corte Madera,4-8,Portola Valley Elementary,356,6.7,97.4,16.9
52,Camarillo Academy of Progressive Education,K-12,Oxnard Union High,569,6.2,97.3,23.7
53,Chaboya Middle,7-8,Evergreen Elementary,1143,10.9,97.3,25.9
54,Rancho San Joaquin Middle,7-8,Irvine Unified,863,13.4,97.2,28.7
55,David Starr Jordan Middle,6-8,Palo Alto Unified,1130,8.7,97.2,16.3
56,Jeffrey Trail Middle,7-8,Irvine Unified,999,14.1,97.2,27.7
57,Gale Ranch Middle,6-8,San Ramon Valley Unified,1178,6.8,97.2,26.1
58,Santa Monica Alternative (K-8),K-8,Santa Monica-Malibu Unified,227,4.9,97.1,22.7
59,Ross Elementary,K-8,Ross Elementary,384,0.0,97.1,14.7
60,Crocker Middle,6-8,Hillsborough City Elementary,540,0.6,97,14.2
61,Hillview Middle,6-8,Menlo Park City Elementary,895,5.9,97,17.9
62,La Entrada Middle,4-8,Las Lomitas Elementary,803,4.5,96.9,20.5
63,Sunridge Charter,K-8,Twin Hills Union Elementary,278,17.3,96.7,25.2
64,Clear Creek Elementary,K-8,Clear Creek Elementary,144,34.7,96.7,24
65,Ladera Ranch Middle,6-8,Capistrano Unified,1510,5.6,96.7,26.4
66,Carmel Middle,6-8,Carmel Unified,559,11.3,96.6,15.5
67,College Preparatory Middle,5-8,Mountain Empire Unified,234,36.8,96.6,19.5
68,Gilroy Prep (A Navigator School),K-8,Gilroy Unified,417,51.1,96.5,27.8
69,Western Center Academy,6-12,Hemet Unified,541,28.3,96.5,27
70,Day Creek Intermediate,6-8,Etiwanda Elementary,1273,22.2,96.5,24.9
71,Bay Farm,K-8,Alameda Unified,591,6.3,96.5,21.1
72,John M. Horner Junior High,7-8,Fremont Unified,1140,15.7,96.4,23.2
73,Richardson Prep High,6-8,San Bernardino City Unified,617,80.9,96.4,24.6
74,Oak Valley Middle,6-8,Poway Unified,1388,9.6,96.4,26.6
75,Lilienthal (Claire) Elementary,K-8,San Francisco Unified,678,23.0,96.4,21.8
76,Bret Harte Middle,6-8,San Jose Unified,1238,11.2,96.3,23.3
77,Rancho Pico Junior High,7-8,William S. Hart Union High,928,8.3,96.3,22.6
78,Sarah McGarvin Intermediate,7-8,Garden Grove Unified,818,58.7,96.2,29.2
79,Pleasanton Middle,6-8,Pleasanton Unified,1272,10.1,96.2,23.1
80,Discovery Charter,K-8,Chula Vista Elementary,905,30.2,96.2,24.4
81,Raymond J. Fisher Middle,6-8,Los Gatos Union Elementary,1263,2.8,96.1,21.7
82,Sierra Vista Middle,7-8,Irvine Unified,853,14.4,96.1,27.5
83,Adaline E. Kent Middle,5-8,Kentfield Elementary,573,4.4,96.1,16.8
84,Manhattan Beach Middle,6-8,Manhattan Beach Unified,1549,2.8,96.1,25.3
85,Tice Creek,K-8,Walnut Creek Elementary,298,3.7,96.1,22.9
86,Vista del Mar Middle,6-8,Capistrano Unified,609,8.5,96,23.4
87,Lincoln Middle,6-8,Alameda Unified,888,12.6,96,22.2
88,White Hill Middle,6-8,Ross Valley Elementary,799,7.9,96,19.4
89,Marshall Middle,6-8,San Diego Unified,1612,13.2,96,26.8
90,Arroyo Vista Charter,K-8,Chula Vista Elementary,995,15.4,95.9,24.2
91,Pine Valley Middle,6-8,San Ramon Valley Unified,1014,5.8,95.9,25.3
92,Plaza Vista,K-8,Irvine Unified,940,10.2,95.9,27.6
93,Chaparral Middle,6-8,Walnut Valley Unified,1212,13.4,95.9,26.3
94,Richard Henry Dana Middle,6-8,Arcadia Unified,743,25.4,95.9,25.6
95,Thurston Middle,6-8,Laguna Beach Unified,721,9.4,95.9,20.6
96,Thomas S. Hart Middle,6-8,Pleasanton Unified,1167,6.3,95.9,24.8
97,Sharon Christa McAuliffe Middle,6-8,Los Alamitos Unified,1243,13.4,95.9,26.4
98,First Avenue Middle,6-8,Arcadia Unified,754,23.9,95.9,26
99,Lakeside Middle,7-8,Irvine Unified,656,13.6,95.8,25.2
100,Oxford Preparatory Academy - Chino Valley,K-8,Chino Valley Unified,1195,24.9,95.7,30.6
101,Ridgecrest Intermediate,6-8,Palos Verdes Peninsula Unified,926,3.1,95.7,25.7
102,Fulton (Harry C.) Middle,6-8,Fountain Valley Elementary,820,17.0,95.7,26.4
103,Coronado Middle,6-8,Coronado Unified,729,6.6,95.6,22.7
104,Mill Valley Middle,6-8,Mill Valley Elementary,1066,5.4,95.6,19.3
105,Pacific Collegiate Charter,7-12,Santa Cruz County Office Of Education,518,7.1,95.6,18.5
106,Albany Middle,6-8,Albany City Unified,895,17.4,95.5,19.4
107,Arroyo Vista Middle,6-8,Capistrano Unified,388,9.5,95.5,24.2
108,Aviara Oaks Middle,6-8,Carlsbad Unified,1132,14.1,95.5,26.3
109,KIPP Los Angeles College Preparatory,5-8,Los Angeles Unified,497,95.2,95.5,21.6
110,Willma Cavitt Junior High,7-8,Eureka Union,369,6.0,95.5,23
111,Diegueno Middle,7-8,San Dieguito Union High,993,7.6,95.4,23.6
112,Clay Elementary,K-8,Clay Joint Elementary,236,21.2,95.4,26.2
113,Granite Ridge Intermediate,7-8,Clovis Unified,1349,22.4,95.4,23.6
114,San Carlos Charter Learning Center,K-8,San Carlos Elementary,362,0.8,95.4,24.1
115,Heritage,K-8,Snowline Joint Unified,510,29.4,95.3,26.8
116,Union Middle,6-8,Union Elementary,1006,7.1,95.3,23.3
117,Palos Verdes Intermediate,6-8,Palos Verdes Peninsula Unified,889,1.8,95.3,24
118,Oak Middle,6-8,Los Alamitos Unified,1130,13.4,95.3,26.2
119,Hillcrest Elementary,K-8,Oakland Unified,366,5.5,95.3,26.1
120,Bowditch Middle,6-8,San Mateo-Foster City,1068,3.4,95.3,23.2
121,C. T. English Middle,6-8,Loma Prieta Joint Union Elementary,206,4.9,95.2,20.6
122,Jonata Middle,6-8,Buellton Union Elementary,219,37.9,95.1,18.2
123,Ralston Intermediate,6-8,Belmont-Redwood Shores Elementary,1199,5.5,95.1,21.8
124,Warren E. Hyde Middle,6-8,Cupertino Union,960,9.5,95,22.3
125,Mesa Verde Middle,6-8,Poway Unified,1275,12.2,95,25
126,Tierra Linda Middle,5-8,San Carlos Elementary,693,7.1,94.9,21
127,South Pointe Middle,6-8,Walnut Valley Unified,917,16.7,94.9,24.7
128,Earl Warren Middle,7-8,San Dieguito Union High,595,11.8,94.9,22.8
129,Mesa View Middle,6-8,Ocean View,821,24.5,94.9,24.1
130,Sycamore Canyon,K-8,Conejo Valley Unified,1313,1.6,94.9,23.8
131,River Valley Charter,7-12,Lakeside Union Elementary,272,5.9,94.8,20.9
132,Burlingame Intermediate,6-8,Burlingame Elementary,1018,9.8,94.7,21.2
133,North Shoreview Montessori Elementary,K-8,San Mateo-Foster City,371,18.1,94.7,26.5
134,Los Cerros Middle,6-8,San Ramon Valley Unified,617,3.4,94.7,24.6
135,Downtown Charter Academy,6-8,Oakland Unified,263,86.7,94.7,23.9
136,Venado Middle,7-8,Irvine Unified,642,16.7,94.6,25.6
137,Easterbrook Discovery,K-8,Moreland,1027,17.4,94.6,22.3
138,San Onofre Elementary,K-8,Fallbrook Union Elementary,638,46.7,94.5,21.2
139,Thornton Junior High,7-8,Fremont Unified,1207,21.5,94.5,24.6
140,Novato Charter,K-8,Novato Unified,268,3.0,94.5,26.8
141,H. Clarke Powers Elementary,K-8,Loomis Union Elementary,479,23.0,94.4,23.9
142,Medea Creek Middle,6-8,Oak Park Unified,1104,5.3,94.4,24.5
143,Design 39 Campus,K-8,Poway K-8 Campus 39 Design,39,K-8,Unified,Campus
144,Central Middle,6-8,San Carlos Elementary,704,2.7,94.3,20.7
145,Don Juan Avila Middle,6-8,Capistrano Unified,1225,12.7,94.3,26.6
146,Franklin Elementary,K-8,Loomis Union Elementary,482,10.6,94.2,24.1
147,Stone Valley Middle,6-8,San Ramon Valley Unified,593,2.7,94.2,22.8
148,KIPP Summit Academy,5-8,San Lorenzo Unified,416,71.6,94.1,26
149,Dartmouth Middle,6-8,Union Elementary,911,16.6,94.1,21.6
150,Thomas Russell Middle,7-8,Milpitas Unified,868,28.7,94,27.1
151,Miller Creek Middle,6-8,Dixie Elementary,687,12.1,94,18
152,University Preparatory Academy Charter,7-12,Santa Clara County Office Of Education,593,11.1,94,21.9
153,Charter School of Morgan Hill,K-8,Morgan Hill Unified,620,6.1,93.9,21.3
154,Charlotte Wood Middle,6-8,San Ramon Valley Unified,1115,1.9,93.8,25.3
155,Public Safety Academy,5-12,Fairfield-Suisun Unified,621,51.5,93.8,23
156,Vallemar Elementary,K-8,Pacifica,534,14.0,93.8,25.4
157,Suzanne Middle,6-8,Walnut Valley Unified,1307,16.1,93.8,25.1
158,Oak Grove Elementary,K-8,Visalia Unified,809,27.9,93.7,28.8
159,Sunol Glen Elementary,K-8,Sunol Glen Unified,281,4.6,93.5,20
160,Aliso Viejo Middle,6-8,Capistrano Unified,1055,16.0,93.5,25.7
161,Giannini (A.P.) Middle,6-8,San Francisco Unified,1214,41.0,93.5,23.8
162,Freshwater Charter Middle,7-8,Freshwater Elementary,47,29.8,93.4,23.5
163,Foothill Middle,6-8,Mt. Diablo Unified,1043,9.6,93.3,24.8
164,Quail Lake Environmental Charter,K-8,Sanger Unified,561,21.0,93.2,23.3
165,Hesby Oaks Leadership Charter,K-8,Los Angeles Unified,545,16.2,93.2,27.2
166,San Jose Charter Academy,K-8,West Covina Unified,1229,45.5,93.2,23.1
167,Hall Middle,6-8,Larkspur-Corte Madera,503,11.1,93.1,20.1
168,Marina Village Middle,6-8,Rescue Union Elementary,794,5.2,93.1,22.6
169,Rolling Hills Middle,6-8,Buckeye Union Elementary,1005,7.2,93,23.3
170,Isaac L. Sowers Middle,6-8,Huntington Beach City Elementary,1173,10.5,93,25.5
171,Scotts Valley Middle,6-8,Scotts Valley Unified,611,11.5,92.9,22.6
172,Carmenita Middle,7-8,ABC Unified,693,28.3,92.9,26.6
173,Celerity Troika Charter,K-8,Los Angeles Unified,609,67.8,92.9,22.5
174,Sierra Expeditionary Learning,K-8,Tahoe-Truckee Unified,213,25.8,92.8,23.6
175,Brightwood Elementary,K-8,Alhambra Unified,960,38.1,92.8,26.6
176,San Jacinto Leadership Academy - Magnet,6-8,San Jacinto Unified,192,57.3,92.7,24
177,Hermosa Valley Elementary,4-8,Hermosa Beach City Elementary,852,3.3,92.7,24.3
178,Capistrano Virtual/Home,K-8,Capistrano Unified,163,9.8,92.6,32.6
179,Discovery Charter,K-8,Santa Clara County Office Of Education,563,5.5,92.6,22.5
180,Parras (Nick G.) Middle,6-8,Redondo Beach Unified,1128,10.6,92.5,28.2
181,El Rodeo Elementary,K-8,Beverly Hills Unified,684,5.9,92.5,17.1
182,Las Flores Middle,6-8,Capistrano Unified,1005,6.2,92.5,25.7
183,Pioneer Middle,6-8,Tustin Unified,1286,13.3,92.3,29.2
184,Masuda (Kazuo) Middle,6-8,Fountain Valley Elementary,853,32.4,92.3,25.8
185,Mesa Robles,K-8,Hacienda La Puente Unified,1078,41.8,92.2,24.5
186,Bert M. Lynn Middle,6-8,Torrance Unified,730,17.7,92.2,24.3
187,Rogers Middle,6-8,Long Beach Unified,874,21.5,92.2,28.1
188,San Benancio Middle,6-8,Washington Union Elementary,325,6.5,92.1,21.6
189,Muirlands Middle,6-8,San Diego Unified,1075,25.5,92.1,25
190,Literacy First Charter,K-12,San Diego County Office Of Education,1639,43.4,92.1,21.5
191,Loomis Basin Charter,K-8,Loomis Union Elementary,407,1.0,92.1,20.3
192,University Preparatory,7-12,Victor Valley Union High,1115,68.2,92,28.5
193,Granite Oaks Middle,7-8,Rocklin Unified,931,10.9,92,21.6
194,Bowman Charter,K-8,Ackerman Charter,556,26.1,92,19.8
195,Goddard Middle,6-8,Glendora Unified,942,15.5,92,25.4
196,Los Cerritos Middle,6-8,Conejo Valley Unified,981,19.0,92,25.1
197,Ralph Waldo Emerson Junior High,7-9,Davis Joint Unified,477,17.4,91.9,19.8
198,University Preparatory,6-12,Shasta Union High,967,14.6,91.9,22.4
199,Walnut Creek Intermediate,6-8,Walnut Creek Elementary,1206,10.8,91.9,26.2
200,Edward J. Richardson Middle,6-8,Torrance Unified,696,15.2,91.9,25.7
201,Bethany Elementary,K-8,Lammersville Joint Unified,848,16.0,91.9,24.9
202,Community Roots Academy,K-8,Capistrano Unified,573,2.3,91.8,19.1
203,Olympus Junior High,7-8,Eureka Union,492,13.4,91.7,24.6
204,Tierra Pacifica Charter,K-8,Live Oak Elementary,153,13.1,91.6,21.8
205,Oak Crest Middle,7-8,San Dieguito Union High,761,17.7,91.6,22.3
206,El Segundo Middle,6-8,El Segundo Unified,835,14.0,91.6,24.5
207,Repetto Elementary,K-8,Alhambra Unified,790,55.1,91.6,25.4
208,Malibu High,6-12,Santa Monica-Malibu Unified,1106,11.6,91.5,20.4
209,Lincoln Middle,6-8,Santa Monica-Malibu Unified,1067,18.3,91.5,23.1
210,South Lake Middle,7-8,Irvine Unified,706,29.3,91.5,25.2
211,Presidio Middle,6-8,San Francisco Unified,1100,39.2,91.5,22
212,Downtown Elementary,K-8,Bakersfield City,308,16.9,91.4,22
213,Rolling Hills Middle,5-8,Campbell Union,964,15.0,91.4,24.7
214,Challenger Middle,6-8,San Diego Unified,987,44.3,91.4,25.3
215,Mariposa School of Global Education,K-8,Las Virgenes Unified,369,4.9,91.3,24.6
216,Jefferson Middle,6-8,Torrance Unified,639,25.0,91.3,24.5
217,Martin Luther King Middle,6-8,Berkeley Unified,1027,35.2,91.2,20.9
218,Pacific Grove Middle,6-8,Pacific Grove Unified,511,18.4,91.2,26.8
219,Sunnyvale Middle,6-8,Sunnyvale,1173,24.9,91.2,23.9
220,Hawthorne Elementary,K-8,Beverly Hills Unified,650,7.5,91.1,16.6
221,Miller's Hill,4-8,Latrobe,84,7.1,91.1,16.8
222,Arthur E. Wright Middle,6-8,Las Virgenes Unified,875,11.1,91,25
223,Muir K-8,K-8,Long Beach Unified,1127,79.5,91,28.1
224,Summit Public School: Denali,6-12,Santa Clara County Office Of Education,321,34.3,91,26.7
225,Oak Avenue Intermediate,7-8,Temple City Unified,895,39.0,90.9,22.3
226,Sierramont Middle,6-8,Berryessa Union Elementary,1085,27.3,90.9,24.6
227,Rosemont Middle,7-8,Glendale Unified,1279,18.6,90.9,28.4
228,Rio Norte Junior High,7-8,William S. Hart Union High,1268,4.8,90.9,23.4
229,Beechwood Elementary,K-8,Fullerton Elementary,868,10.1,90.8,28
230,Col. J. K. Tuffree Middle,7-8,Placentia-Yorba Linda Unified,761,29.7,90.8,27.1
231,Odyssey Charter,K-8,Los Angeles County Office Of Education,460,26.1,90.5,27
232,San Elijo Middle,6-8,San Marcos Unified,1981,14.8,90.5,29.1
233,Black Mountain Middle,6-8,Poway Unified,1250,22.3,90.5,25.5
234,Paul Revere Charter Middle,6-8,Los Angeles Unified,2093,22.8,90.5,26.4
235,Sebastian Questa Elementary,K-8,Lammersville Joint Unified,763,6.3,90.4,24.6
236,Yuba River Charter,K-8,Nevada County Office Of Education,301,47.2,90.3,25
237,Gabriella Charter,K-8,Los Angeles Unified,433,86.1,90.1,22.7
238,Ocean Charter,K-8,Los Angeles Unified,458,18.6,90.1,25.4
239,La Colina Junior High,7-8,Santa Barbara Unified,947,24.9,90,24.2
240,Martha Baldwin Elementary,K-8,Alhambra Unified,1121,65.3,89.9,26.6
241,Bernardo Yorba Middle,7-8,Placentia-Yorba Linda Unified,688,22.4,89.9,26.4
242,KIPP Heartwood Academy,5-8,Alum Rock Union Elementary,406,83.3,89.8,33.8
243,Riverview Elementary,K-8,Kings Canyon Joint Unified,451,61.9,89.7,28.1
244,Quimby Oak Middle,7-8,Evergreen Elementary,1016,28.3,89.7,29.8
245,Talbert (Samuel E.) Middle,6-8,Fountain Valley Elementary,709,17.2,89.7,24.4
246,Oliver Wendell Holmes Junior High,7-9,Davis Joint Unified,731,14.8,89.7,20.8
247,Folsom Middle,6-8,Folsom-Cordova Unified,1467,7.6,89.7,26.6
248,KIPP Heritage Academy,5-8,Franklin-McKinley Elementary,216,74.5,89.7,27
249,Celerity Palmati Charter,K-8,Los Angeles Unified,439,97.0,89.6,25.8
250,Old Town Academy K-8 Charter,K-8,San Diego Unified,251,14.3,89.6,31.3
251,Stanford Middle,6-8,Long Beach Unified,1298,36.2,89.6,27.6
252,Barbara Chilton Middle,6-8,Roseville City Elementary,482,13.5,89.6,26.7
253,Bernice Ayer Middle,6-8,Capistrano Unified,861,25.1,89.6,24.6
254,Roosevelt Middle,6-8,San Francisco Unified,698,59.7,89.4,21.1
255,Sutter Middle,6-8,Folsom-Cordova Unified,1479,14.7,89.4,26.4
256,Cabrillo Elementary,K-8,Pacifica,562,11.2,89.2,24.4
257,Miraleste Intermediate,6-8,Palos Verdes Peninsula Unified,848,6.0,89.2,25.6
258,La Paz Intermediate,7-8,Saddleback Valley Unified,889,22.4,89.1,26.1
259,El Rancho Charter,7-8,Orange Unified,1152,12.9,89.1,26.7
260,Alameda Community Learning Center,6-12,Alameda Unified,379,11.1,89.1,23.6
261,Newhart Middle,6-8,Capistrano Unified,1223,18.3,89.1,24.4
262,Ethel Dwyer Middle,6-8,Huntington Beach City Elementary,1284,21.7,89,27.3
263,Douglas City Elementary,K-8,Douglas City Elementary,180,47.8,89,20
264,Placer Elementary,K-8,Loomis Union Elementary,488,13.5,89,22.1
265,Katherine L. Albiani Middle,7-8,Elk Grove Unified,1442,30.9,88.9,22.1
266,Yorba Linda Middle,6-8,Placentia-Yorba Linda Unified,944,16.3,88.9,27.7
267,Hallmark Charter,K-12,Sanger Unified,368,45.9,88.9,19.3
268,Pioneer Junior High,7-8,Upland Unified,870,30.9,88.9,22.3
269,Harvest Ridge Cooperative Charter/Placer Academy,K-12,Newcastle Elementary,431,15.8,88.9,21.5
270,Elizabeth Pinkerton Middle,7-8,Elk Grove Unified,1084,33.1,88.8,22.1
271,Park View Elementary,K-8,Ripon Unified,450,22.0,88.8,25
272,Travis Ranch,K-8,Placentia-Yorba Linda Unified,1359,9.0,88.8,26.6
273,Kraemer Middle,7-8,Placentia-Yorba Linda Unified,957,44.0,88.8,26.5
274,Monterey Highlands Elementary,K-8,Alhambra Unified,962,52.3,88.7,26
275,South Bay Charter,K-8,South Bay Union Elementary,90,61.1,88.7,18
276,College Connection Academy,7-8,Franklin-McKinley Elementary,145,73.8,88.6,20.7
277,Millville Elementary,K-8,Millville Elementary,249,35.3,88.5,20.7
278,Hillcrest Middle,6-8,Gravenstein Union Elementary,255,15.7,88.5,15
279,Rancho Santa Margarita Intermediate,7-8,Saddleback Valley Unified,1332,15.4,88.4,26.6
280,Adams (J. Douglas) Middle,6-8,Brentwood Union Elementary,1167,20.3,88.4,25.9
281,Rocklin Academy Gateway,K-8,Newcastle Elementary,1047,7.6,88.4,24.3
282,Laguna Middle,7-8,San Luis Coastal Unified,703,30.9,88.4,20
283,Isaac Newton Graham Middle,6-8,Mountain View Whisman,822,30.9,88.3,20.5
284,Beverly Vista Elementary,K-8,Beverly Hills Unified,690,6.2,88.3,16.4
285,Alice C. Stelle Middle,6-8,Las Virgenes Unified,790,7.1,88.3,24.6
286,Da Vinci Innovation Academy,K-8,Wiseburn Unified,354,5.1,88.3,50.5
287,D. Russell Parks Junior High,7-8,Fullerton Elementary,998,25.2,88.2,27.7
288,Newcomb Academy,K-8,Long Beach Unified,886,22.7,88.1,27.6
289,Richard Henry Dana Middle,6-8,Wiseburn Unified,984,50.9,88,25.2
290,William Mendenhall Middle,6-8,Livermore Valley Joint Unified,948,9.9,88,24.3
291,Nuestro Elementary,K-8,Nuestro Elementary,145,37.2,87.9,18.1
292,Alder Creek Middle,6-8,Tahoe-Truckee Unified,495,33.9,87.9,17.6
293,Kastner Intermediate,7-8,Clovis Unified,1041,46.0,87.9,22.6
294,Jacoby Creek,K-8,Jacoby Creek Elementary,432,18.5,87.7,20.5
295,Gold River Discovery Center K-8,K-8,San Juan Unified,836,20.8,87.7,27.8
296,Valley Middle,6-8,Carlsbad Unified,1009,24.4,87.7,24.6
297,American Indian Public Charter School II,K-8,Oakland Unified,641,76.8,87.7,24.6
298,Alta Sierra Intermediate,7-8,Clovis Unified,1342,35.7,87.6,22.3
299,Western Sierra Collegiate Academy,7-12,Rocklin Unified,742,10.4,87.6,20
300,Grant Elementary,K-8,Grant Elementary,614,12.7,87.6,19.8
301,Parkview,K-12,Placentia-Yorba Linda Unified,221,7.7,87.5,36.8
302,Rio Secondary Elementary,K-8,Santee,1003,31.7,87.4,26.3
303,Colonel Joseph C. Rodriguez PREP Academy,4-8,San Bernardino City Unified,775,91.4,87.4,25
304,Creekside Middle,6-8,Castro Valley Unified,793,19.3,87.3,25.5
305,Winston Churchill Middle,6-8,San Juan Unified,1036,36.5,87.3,24.6
306,Tustin Connect Center,K-8,Tustin Unified,42,14.3,87.3,21
307,KIPP Sol Academy,5-8,Los Angeles Unified,390,90.8,87.3,27.8
308,Brookside,K-8,Lincoln Unified,760,29.7,87.2,23.7
309,Our Community Charter,K-8,Los Angeles Unified,440,30.0,87.2,23.1
310,Horace Mann Elementary,K-8,Beverly Hills Unified,500,11.8,87.1,14.2
311,Bernardo Heights Middle,6-8,Poway Unified,1474,15.0,87.1,25.4
312,Adams Middle,6-8,Redondo Beach Unified,994,25.5,87,24.8
313,Lake Elementary,K-8,Lake Elementary,174,39.7,86.9,19.3
314,Arroyo Secondary Junior High,7-8,William S. Hart Union High,1220,12.8,86.9,24.8
315,Magnolia Science Academy San Diego,6-8,San Diego Unified,423,22.2,86.8,24.8
316,Rooftop Elementary,K-8,San Francisco Unified,586,31.4,86.7,24.4
317,New West Charter,6-12,State Board Of Education - New West Charter,823,24.8,86.7,20.5
318,Marian A. Peterson Middle,6-8,Santa Clara Unified,899,27.5,86.7,23.6
319,Intellectual Virtues Academy of Long Beach,6-8,Long Beach Unified,170,18.2,86.6,28.3
320,Standley Middle,6-8,San Diego Unified,1075,36.7,86.6,26.8
321,Alfred B. Nobel Charter Middle,6-8,Los Angeles Unified,2456,42.7,86.5,28.8
322,Roy Cloud Elementary,K-8,Redwood City Elementary,788,7.5,86.5,26.2
323,Price Charter Middle,6-8,Cambrian,1115,14.7,86.5,24.2
324,Brea Junior High,7-8,Brea-Olinda Unified,858,29.8,86.5,25.2
325,International School of Monterey,K-8,Monterey Peninsula Unified,419,16.5,86.5,17.4
326,River Glen,K-8,San Jose Unified,526,42.0,86.4,26.3
327,Rincon Valley Middle,7-8,Santa Rosa High,908,16.1,86.4,23.8
328,McCabe Elementary,K-8,McCabe Union Elementary,1364,36.4,86.3,23.9
329,Ramona Middle,6-8,Bonita Unified,1391,34.2,86.2,26.7
330,Lipman Middle,6-8,Brisbane Elementary,155,25.8,86.2,19.3
331,Spring View Middle,7-8,Rocklin Unified,815,24.2,86.2,19.4
332,Natomas Charter,K-12,Natomas Unified,1638,22.5,86.1,22.7
333,Moreland Middle,6-8,Moreland,996,33.0,86,24.2
334,Rancho Milpitas Middle,7-8,Milpitas Unified,721,36.2,86,23.2
335,Newcastle Charter,K-8,Newcastle Elementary,283,14.8,85.9,28.3
336,Fieldbrook Elementary,K-8,Fieldbrook Elementary,147,34.0,85.8,18.3
337,Larchmont Charter,K-12,Los Angeles Unified,1424,39.3,85.8,21.5
338,Calle Mayor Middle,6-8,Torrance Unified,792,20.7,85.7,24
339,Lindero Canyon Middle,6-8,Las Virgenes Unified,1027,7.4,85.6,23.3
340,Da Vinci Charter Academy,7-12,Davis Joint Unified,583,8.2,85.4,23.3
341,Donald S. Jordan Intermediate,7-8,Garden Grove Unified,727,71.4,85.4,29
342,Solvang Elementary,K-8,Solvang Elementary,570,56.3,85.4,25.9
